Tournament,Title,Cluster
Cornell Novice Nats 2021,Quarterfinals,4
Cornell Novice Nats 2021,Round 5,8
Cornell Novice Nats 2021,Round 4,3
Cornell Novice Nats 2021,Round 3,7
Cornell Novice Nats 2021,Round 2,8
Cornell Novice Nats 2021,Round 1,3
CUDC 2024,Grand Finals,9
CUDC 2024,Novice Finals,3
CUDC 2024,Open Semifinals,6
CUDC 2024,Novice Semifinals,8
CUDC 2024,Open Quarterfinals,4
CUDC 2024,Round 5,0
CUDC 2024,Round 4,1
CUDC 2024,Round 3,9
CUDC 2024,Round 2,0
CUDC 2024,Round 1,9
CUSID Random Pro-Am 2021,ESL Finals,-1
CUSID Random Pro-Am 2021,Grand Final,-1
CUSID Random Pro-Am 2021,Round 4,8
CUSID Random Pro-Am 2021,Round 3,9
CUSID Random Pro-Am 2021,Round 2,6
CUSID Random Pro-Am 2021,Round 1,6
CUSID Random Pro-Am 2022,Open Grand Final,3
CUSID Random Pro-Am 2022,ESL Final,3
CUSID Random Pro-Am 2022,Novice Final,3
CUSID Random Pro-Am 2022,Round 4,0
CUSID Random Pro-Am 2022,Round 3,9
CUSID Random Pro-Am 2022,Round 2,3
CUSID Random Pro-Am 2022,Round 1,3
CUSID Random Pro-Am 2023,Grand Final,-1
CUSID Random Pro-Am 2023,ESL Finals,-1
CUSID Random Pro-Am 2023,Novice Finals,3
CUSID Random Pro-Am 2023,Semifinals,8
CUSID Random Pro-Am 2023,Round 5,-1
CUSID Random Pro-Am 2023,Round 4,3
CUSID Random Pro-Am 2023,Round 3,0
CUSID Random Pro-Am 2023,Round 2,7
CUSID Random Pro-Am 2023,Round 1,8
CUSID Random Pro-Am 2024,Grand Final,1
CUSID Random Pro-Am 2024,Round 4,5
CUSID Random Pro-Am 2024,Round 3,8
CUSID Random Pro-Am 2024,Round 2,5
CUSID Random Pro-Am 2024,Round 1,4
CUSID Semi-Random Pro-Am 2024,Grand Final,-1
CUSID Semi-Random Pro-Am 2024,Round 4,9
CUSID Semi-Random Pro-Am 2024,Round 3,0
CUSID Semi-Random Pro-Am 2024,Round 2,0
CUSID Semi-Random Pro-Am 2024,Round 1,1
DAIC Open 2022,Novice & Schools Finals,2
DAIC Open 2022,ESL Final,7
DAIC Open 2022,Grand Final,4
DAIC Open 2022,Semifinals,7
DAIC Open 2022,Round 5,9
DAIC Open 2022,Round 4,0
DAIC Open 2022,Round 3,6
DAIC Open 2022,Round 2,8
DAIC Open 2022,Round 1,5
Derozio Memorial Debate 2020,Novice Finals,-1
Derozio Memorial Debate 2020,Novice Semifinals,3
Derozio Memorial Debate 2020,Grand Final,4
Derozio Memorial Debate 2020,Semifinals,6
Derozio Memorial Debate 2020,Quarterfinals,3
Derozio Memorial Debate 2020,Round 6,5
Derozio Memorial Debate 2020,Round 5,0
Derozio Memorial Debate 2020,Round 4,8
Derozio Memorial Debate 2020,Round 3,6
Derozio Memorial Debate 2020,Round 2,8
Derozio Memorial Debate 2020,Round 1,8
Dialectica Pre-ABP 2024,Novice Finals,0
Dialectica Pre-ABP 2024,Novice Semifinals,4
Dialectica Pre-ABP 2024,Grand Final,0
Dialectica Pre-ABP 2024,Semifinals,4
Dialectica Pre-ABP 2024,Quarterfinals,8
Dialectica Pre-ABP 2024,Round 5,5
Dialectica Pre-ABP 2024,Round 4,3
Dialectica Pre-ABP 2024,Round 3,9
Dialectica Pre-ABP 2024,Round 2,5
Dialectica Pre-ABP 2024,Round 1,2
Diliman Debate Open 2022,Grand Finals,3
Diliman Debate Open 2022,Novice Grand Finals,5
Diliman Debate Open 2022,Semifinals,4
Diliman Debate Open 2022,Novice Semifinals,8
Diliman Debate Open 2022,Quarterfinals,9
Diliman Debate Open 2022,Round 4,2
Diliman Debate Open 2022,Round 3,9
Diliman Debate Open 2022,Round 2,7
Diliman Debate Open 2022,Round 1,2
Diliman Debate Open 2023,Schools Finals,0
Diliman Debate Open 2023,Schools Semifinals,9
Diliman Debate Open 2023,Schools Quarterfinals,9
Diliman Debate Open 2023,Novice Finals,4
Diliman Debate Open 2023,Novice Semifinals,9
Diliman Debate Open 2023,Grand Final,5
Diliman Debate Open 2023,Semifinals,0
Diliman Debate Open 2023,Quarterfinals,8
Diliman Debate Open 2023,Round 5,0
Diliman Debate Open 2023,Round 4,7
Diliman Debate Open 2023,Round 3,9
Diliman Debate Open 2023,Round 2,8
Diliman Debate Open 2023,Round 1,0
Diliman Debate Open 2025,Schools Finals,4
Diliman Debate Open 2025,Grand Final,3
Diliman Debate Open 2025,Semifinals,0
Diliman Debate Open 2025,Quarterfinals,6
Diliman Debate Open 2025,Round 4,2
Diliman Debate Open 2025,Round 3,0
Diliman Debate Open 2025,Round 2,9
Diliman Debate Open 2025,Round 1,8
Diliman IV 2024,Novice Finals,0
Diliman IV 2024,Grand Final,2
Diliman IV 2024,Semifinals,7
Diliman IV 2024,Pre-Semifinals,9
Diliman IV 2024,Round 5,8
Diliman IV 2024,Round 4,9
Diliman IV 2024,Round 3,5
Diliman IV 2024,Round 2,7
Diliman IV 2024,Round 1,5
Diliman Pre-ABP 2023,Novice Finals,0
Diliman Pre-ABP 2023,Novice Semifinals,7
Diliman Pre-ABP 2023,Grand Final,6
Diliman Pre-ABP 2023,Semifinals,9
Diliman Pre-ABP 2023,Quarterfinals,9
Diliman Pre-ABP 2023,Round 5,2
Diliman Pre-ABP 2023,Round 4,6
Diliman Pre-ABP 2023,Round 3,9
Diliman Pre-ABP 2023,Round 2,0
Diliman Pre-ABP 2023,Round 1,8
Doxbridge I 2020,Outrounds,-1
Doxbridge I 2020,Round 9,7
Doxbridge I 2020,Round 8,1
Doxbridge I 2020,Round 7,8
Doxbridge I 2020,Round 6,8
Doxbridge I 2020,Round 5,6
Doxbridge I 2020,Round 4,5
Doxbridge I 2020,Round 3,9
Doxbridge I 2020,Round 2,2
Doxbridge I 2020,Round 1,8
Doxbridge II 2020,Outrounds,-1
Doxbridge II 2020,Round 9,0
Doxbridge II 2020,Round 8,2
Doxbridge II 2020,Round 7,4
Doxbridge II 2020,Round 6,9
Doxbridge II 2020,Round 5,0
Doxbridge II 2020,Round 4,6
Doxbridge II 2020,Round 3,7
Doxbridge II 2020,Round 2,7
Doxbridge II 2020,Round 1,9
Doxbridge III 2020,The Grand Final,6
Doxbridge III 2020,ESL Final,0
Doxbridge III 2020,Semifinals,7
Doxbridge III 2020,EFL Final,3
Doxbridge III 2020,Open Quarterfinals,6
Doxbridge III 2020,Schools Final,5
Doxbridge III 2020,ESL Semifinals,8
Doxbridge III 2020,Octofinals,8
Doxbridge III 2020,Schools Semifinals,5
Doxbridge III 2020,Partial Double Octofinals,5
Doxbridge III 2020,ESL Quarterfinals,7
Doxbridge III 2020,Partial Quadruple Octofinals,7
Doxbridge IV 2021,Schools Final,0
Doxbridge IV 2021,Schools Semi Finals,5
Doxbridge IV 2021,ESL Final,0
Doxbridge IV 2021,ESL Semi Finals,6
Doxbridge IV 2021,ESL Quarter Finals,4
Doxbridge IV 2021,Grand Final,3
Doxbridge IV 2021,Semifinals,6
Doxbridge IV 2021,Quarterfinals,6
Doxbridge IV 2021,Octofinals,4
Doxbridge IV 2021,Round 5,7
Doxbridge IV 2021,Round 4,4
Doxbridge IV 2021,Round 3,9
Doxbridge IV 2021,Round 2,8
Doxbridge IV 2021,Round 1,1
Doxbridge Pre-WUDC 2022,Schools Finals,5
Doxbridge Pre-WUDC 2022,Schools Semifinals,9
Doxbridge Pre-WUDC 2022,ESL Finals,3
Doxbridge Pre-WUDC 2022,ESL Semifinals,7
Doxbridge Pre-WUDC 2022,ESL Quarterfinals,5
Doxbridge Pre-WUDC 2022,Grand Final,9
Doxbridge Pre-WUDC 2022,Semifinals,3
Doxbridge Pre-WUDC 2022,Quarterfinals,7
Doxbridge Pre-WUDC 2022,Octofinals,5
Doxbridge Pre-WUDC 2022,Round 5,6
Doxbridge Pre-WUDC 2022,Round 4,0
Doxbridge Pre-WUDC 2022,Round 3,4
Doxbridge Pre-WUDC 2022,Round 2,3
Doxbridge Pre-WUDC 2022,Round 1,1
Drexel Open 2023,Novice Finals,2
Drexel Open 2023,ESL Finals,3
Drexel Open 2023,Grand Final,7
Drexel Open 2023,Semifinals,3
Drexel Open 2023,Partial Quarterfinals,2
Drexel Open 2023,Round 5,9
Drexel Open 2023,Round 4,6
Drexel Open 2023,Round 3,6
Drexel Open 2023,Round 2,5
Drexel Open 2023,Round 1,9
Drexel Open 2024,Novice Finals,0
Drexel Open 2024,Grand Final,3
Drexel Open 2024,Semifinals,9
Drexel Open 2024,Quarterfinals,7
Drexel Open 2024,Round 5,6
Drexel Open 2024,Round 4,8
Drexel Open 2024,Round 3,7
Drexel Open 2024,Round 2,9
Drexel Open 2024,Round 1,8
Drexel Open 2025,Grand Final,8
Drexel Open 2025,Semifinals,0
Drexel Open 2025,Round 5,2
Drexel Open 2025,Round 4,9
Drexel Open 2025,Round 3,8
Drexel Open 2025,Round 2,4
Drexel Open 2025,Round 1,5
DSDC Coherence 2021,Novice Finals,0
DSDC Coherence 2021,Grand Final,8
DSDC Coherence 2021,Semifinals,6
DSDC Coherence 2021,Pre Semifinal,0
DSDC Coherence 2021,Round 4,5
DSDC Coherence 2021,Round 3,8
DSDC Coherence 2021,Round 2,0
DSDC Coherence 2021,Round 1,5
DSNPD 2022,Open Grand Finals,7
DSNPD 2022,Novice Grand Finals,7
DSNPD 2022,Semifinals,7
DSNPD 2022,Novice Semifinals,7
DSNPD 2022,Quarterfinals,7
DSNPD 2022,Pre-Quarters,0
DSNPD 2022,Round 5,7
DSNPD 2022,Round 4,2
DSNPD 2022,Round 3,7
DSNPD 2022,Round 2,5
DSNPD 2022,Round 1,5
DTU Monsoons 2024,Novice Finals,8
DTU Monsoons 2024,Grand Final,3
DTU Monsoons 2024,Semifinals,9
DTU Monsoons 2024,Quarterfinals,-1
DTU Monsoons 2024,Round 5,7
DTU Monsoons 2024,Round 4,3
DTU Monsoons 2024,Round 3,0
DTU Monsoons 2024,Round 2,5
DTU Monsoons 2024,Round 1,2
DTU PD 2021,Novice Finals,9
DTU PD 2021,Novice Semifinals,8
DTU PD 2021,Grand Final,8
DTU PD 2021,Semifinals,7
DTU PD 2021,Quarterfinals,0
DTU PD 2021,Round 5,5
DTU PD 2021,Round 4,7
DTU PD 2021,Round 3,2
DTU PD 2021,Round 2,6
DTU PD 2021,Round 1,1
Duke Open 2022,Grand Final,3
Duke Open 2022,Semifinals,7
Duke Open 2022,Novice Finals,9
Duke Open 2022,Round 5,6
Duke Open 2022,Round 4,2
Duke Open 2022,Round 3,7
Duke Open 2022,Round 2,7
Duke Open 2022,Round 1,9
Durham IV 2023,Grand Final,5
Durham IV 2023,ProAm Final,7
Durham IV 2023,Semifinals,4
Durham IV 2023,Round 5,5
Durham IV 2023,Round 4,5
Durham IV 2023,Round 3,9
Durham IV 2023,Round 2,8
Durham IV 2023,Round 1,4
Durham IV 2024,Grand Final,8
Durham IV 2024,Semifinals,0
Durham IV 2024,Novice Final,8
Durham IV 2024,Round 5,0
Durham IV 2024,Round 4,8
Durham IV 2024,Round 3,9
Durham IV 2024,Round 2,2
Durham IV 2024,Round 1,7
Durham Schools 2023,Novice Finals,3
Durham Schools 2023,Novice Semifinals,5
Durham Schools 2023,Grand Final,3
Durham Schools 2023,Semifinals,0
Durham Schools 2023,Quarterfinals,2
Durham Schools 2023,Round 4,2
Durham Schools 2023,Round 3,6
Durham Schools 2023,Round 2,7
Durham Schools 2023,Round 1,9
Earlsfort Open 2023,Round 1,4
Earlsfort Open 2023,Round 2,8
Earlsfort Open 2023,Round 3,0
Earlsfort Open 2023,Round 4,1
Earlsfort Open 2023,Round 5,9
Earlsfort Open 2023,Semifinals,0
Earlsfort Open 2023,Grand Final,7
Earlsfort Open 2023,ESL Finals,4
East Malaysia Open 2024,Grand Final,4
East Malaysia Open 2024,Novice Finals,8
East Malaysia Open 2024,Semi Finals,9
East Malaysia Open 2024,Novice Semifinals,7
East Malaysia Open 2024,Quarter Final,7
East Malaysia Open 2024,Pre-Quarter Final,1
East Malaysia Open 2024,Round 4,8
East Malaysia Open 2024,Round 3,9
East Malaysia Open 2024,Round 2,5
East Malaysia Open 2024,Round 1,5
Easters 2022,Grand Final,7
Easters 2022,Grand Final,9
Easters 2022,Grand Final,8
Easters 2022,Semifinals,0
Easters 2022,Semifinals,0
Easters 2022,Semifinals,0
Easters 2022,Quarterfinals,4
Easters 2022,Quarterfinals,7
Easters 2022,Quarterfinals,2
Easters 2022,Octofinals,0
Easters 2022,Octofinals,2
Easters 2022,Octofinals,0
Easters 2022,Round 6,7
Easters 2022,Round 6,9
Easters 2022,Round 6,9
Easters 2022,Round 5,3
Easters 2022,Round 5,3
Easters 2022,Round 5,9
Easters 2022,Round 4,9
Easters 2022,Round 4,9
Easters 2022,Round 4,9
Easters 2022,Round 3,0
Easters 2022,Round 3,0
Easters 2022,Round 3,0
Easters 2022,Round 2,6
Easters 2022,Round 2,6
Easters 2022,Round 2,7
Easters 2022,Round 1,5
Easters 2022,Round 1,7
Easters 2022,Round 1,5
Edinburgh Cup 2022,Pro Am Finals,7
Edinburgh Cup 2022,Grand Final,8
Edinburgh Cup 2022,Semifinals,5
Edinburgh Cup 2022,Round 5,7
Edinburgh Cup 2022,Round 4,4
Edinburgh Cup 2022,Round 3,9
Edinburgh Cup 2022,Round 2,8
Edinburgh Cup 2022,Round 1,2
Edinburgh Cup 2023,Grand Finals,4
Edinburgh Cup 2023,Pro-Am Finals,7
Edinburgh Cup 2023,Semifinals,2
Edinburgh Cup 2023,Round 5,5
Edinburgh Cup 2023,Round 4,8
Edinburgh Cup 2023,Round 3,6
Edinburgh Cup 2023,Round 2,1
Edinburgh Cup 2023,Round 1,2
Edinburgh Cup 2024,Pro-Am Finals,7
Edinburgh Cup 2024,Grand Final,8
Edinburgh Cup 2024,Semifinals,4
Edinburgh Cup 2024,Round 5,9
Edinburgh Cup 2024,Round 4,8
Edinburgh Cup 2024,Round 3,2
Edinburgh Cup 2024,Round 2,8
Edinburgh Cup 2024,Round 1,1
Edinburgh Open 2023,Grand Final,3
Edinburgh Open 2023,Semi Finals,9
Edinburgh Open 2023,Pro-Am Final,3
Edinburgh Open 2023,Round 5,8
Edinburgh Open 2023,Round 4,7
Edinburgh Open 2023,Round 3,2
Edinburgh Open 2023,Round 2,1
Edinburgh Open 2023,Round 1,8
Eindhoven Open 2025,Pro-Am Finals,8
Eindhoven Open 2025,Grand Final,0
Eindhoven Open 2025,Semifinals,9
Eindhoven Open 2025,Round 5,2
Eindhoven Open 2025,Round 4,2
Eindhoven Open 2025,Round 3,5
Eindhoven Open 2025,Round 2,9
Eindhoven Open 2025,Round 1,9
Erasmus Novice Cup 2023,Final,1
Erasmus Novice Cup 2023,Round 3,0
Erasmus Novice Cup 2023,Round 2,5
Erasmus Novice Cup 2023,Round 1,8
Erasmus Rotterdam Open 2023,Grand Final,3
Erasmus Rotterdam Open 2023,ProAm Finals,8
Erasmus Rotterdam Open 2023,Semifinals,9
Erasmus Rotterdam Open 2023,Round 5,8
Erasmus Rotterdam Open 2023,Round 4,9
Erasmus Rotterdam Open 2023,Round 3,3
Erasmus Rotterdam Open 2023,Round 2,7
Erasmus Rotterdam Open 2023,Round 1,4
Erasmus Rotterdam Open 2024,Grand Final,5
Erasmus Rotterdam Open 2024,Semifinals,3
Erasmus Rotterdam Open 2024,Round 5,3
Erasmus Rotterdam Open 2024,Round 4,2
Erasmus Rotterdam Open 2024,Round 3,7
Erasmus Rotterdam Open 2024,Round 2,6
Erasmus Rotterdam Open 2024,Round 1,8
Eristic BP 2024,Grand Final,9
Eristic BP 2024,Semifinals,9
Eristic BP 2024,Quarterfinals,7
Eristic BP 2024,Novice Finals,9
Eristic BP 2024,Novice Semi-Finals,7
Eristic BP 2024,Round 5,2
Eristic BP 2024,Round 4,9
Eristic BP 2024,Round 3,3
Eristic BP 2024,Round 2,9
Eristic BP 2024,Round 1,4
EUDC 2021,ESL Final,8
EUDC 2021,ESL Semifinals,6
EUDC 2021,Grand Final,0
EUDC 2021,Semifinals,4
EUDC 2021,Quarterfinals,9
EUDC 2021,Round 9,6
EUDC 2021,Round 8,9
EUDC 2021,Round 7,0
EUDC 2021,Round 6,2
EUDC 2021,Round 5,9
EUDC 2021,Round 4,8
EUDC 2021,Round 3,8
EUDC 2021,Round 2,5
EUDC 2021,Round 1,9
EUDC 2022,Grand Final,3
EUDC 2022,Semifinals,9
EUDC 2022,Quarterfinals,7
EUDC 2022,ESL Finals,4
EUDC 2022,ESL Semifinals,3
EUDC 2022,Round 9,9
EUDC 2022,Round 8,8
EUDC 2022,Round 7,0
EUDC 2022,Round 6,8
EUDC 2022,Round 5,0
EUDC 2022,Round 4,1
EUDC 2022,Round 3,9
EUDC 2022,Round 2,0
EUDC 2022,Round 1,7
EUDC 2023,ESL Finals,0
EUDC 2023,ESL Semifinals,3
EUDC 2023,ESL Quarterfinals,6
EUDC 2023,Grand Final,4
EUDC 2023,Semifinals,9
EUDC 2023,Quarterfinals,7
EUDC 2023,Partial Octofinals,8
EUDC 2023,Round 9,3
EUDC 2023,Round 8,0
EUDC 2023,Round 7,7
EUDC 2023,Round 6,2
EUDC 2023,Round 5,7
EUDC 2023,Round 4,6
EUDC 2023,Round 3,1
EUDC 2023,Round 2,7
EUDC 2023,Round 1,5
EUDC 2024,ESL Finals,8
EUDC 2024,ESL Semifinals,3
EUDC 2024,ESL Quarterfinals,1
EUDC 2024,Grand Final,6
EUDC 2024,Semifinals,4
EUDC 2024,Quarterfinals,9
EUDC 2024,Partial Octofinals,7
EUDC 2024,Round 9,9
EUDC 2024,Round 8,6
EUDC 2024,Round 7,9
EUDC 2024,Round 6,2
EUDC 2024,Round 5,9
EUDC 2024,Round 4,6
EUDC 2024,Round 3,8
EUDC 2024,Round 2,6
EUDC 2024,Round 1,8
EUDC Challenge IV 2021,Round 1,7
EUDC Challenge IV 2021,Round 2,9
EUDC Challenge IV 2021,Round 3,4
EUDC Challenge IV 2021,Semifinals,3
EUDC Challenge IV 2021,Grand Final,0
Exeter Invitational 2025,Grand Final,3
Exeter Invitational 2025,Silver Final,8
Exeter Invitational 2025,Round 4,0
Exeter Invitational 2025,Round 3,9
Exeter Invitational 2025,Round 2,5
Exeter Invitational 2025,Round 1,2
Exeter Open 2024,Grand Final,0
Exeter Open 2024,Pro-Am Final,8
Exeter Open 2024,Round 4,2
Exeter Open 2024,Round 3,5
Exeter Open 2024,Round 2,0
Exeter Open 2024,Round 1,8
Father Roger Guindon Cup 2023,Novice Finals,0
Father Roger Guindon Cup 2023,Grand Final,3
Father Roger Guindon Cup 2023,Semifinals,0
Father Roger Guindon Cup 2023,Round 4,8
Father Roger Guindon Cup 2023,Round 3,0
Father Roger Guindon Cup 2023,Round 2,9
Father Roger Guindon Cup 2023,Round 1,6
Father Roger Guindon Cup 2024,Novice Finals,8
Father Roger Guindon Cup 2024,Novice Semifinals,3
Father Roger Guindon Cup 2024,Grand Final,-1
Father Roger Guindon Cup 2024,Semifinals,0
Father Roger Guindon Cup 2024,Quarterfinals,4
Father Roger Guindon Cup 2024,Round 5,9
Father Roger Guindon Cup 2024,Round 4,9
Father Roger Guindon Cup 2024,Round 3,2
Father Roger Guindon Cup 2024,Round 2,3
Father Roger Guindon Cup 2024,Round 1,7
Father Roger Guindon Cup 2025,Novice Finals,8
Father Roger Guindon Cup 2025,Grand Final,3
Father Roger Guindon Cup 2025,Semifinals,0
Father Roger Guindon Cup 2025,Partial Quarterfinals,5
Father Roger Guindon Cup 2025,Round 5,8
Father Roger Guindon Cup 2025,Round 4,9
Father Roger Guindon Cup 2025,Round 3,1
Father Roger Guindon Cup 2025,Round 2,3
Father Roger Guindon Cup 2025,Round 1,3
FHDO x BBO BP 2022,Grand Final,7
FHDO x BBO BP 2022,Pro-Am Finals,2
FHDO x BBO BP 2022,Prefinals,2
FHDO x BBO BP 2022,Round 5,8
FHDO x BBO BP 2022,Round 4,5
FHDO x BBO BP 2022,Round 3,2
FHDO x BBO BP 2022,Round 2,7
FHDO x BBO BP 2022,Round 1,9
Glasgow Ancients 2023,Round 1,2
Glasgow Ancients 2023,Round 2,8
Glasgow Ancients 2023,Round 3,3
Glasgow Ancients 2023,Round 4,9
Glasgow Ancients 2023,Round 5,3
Glasgow Ancients 2023,Semifinals,7
Glasgow Ancients 2023,Grand Final,0
Glasgow Ancients 2024,Grand Final,2
Glasgow Ancients 2024,Semifinals,9
Glasgow Ancients 2024,Round 5,0
Glasgow Ancients 2024,Round 4,4
Glasgow Ancients 2024,Round 3,8
Glasgow Ancients 2024,Round 2,3
Glasgow Ancients 2024,Round 1,9
Glasgow Ancients 2025,Grand Final,3
Glasgow Ancients 2025,Semifinals,7
Glasgow Ancients 2025,Round 5,9
Glasgow Ancients 2025,Round 4,6
Glasgow Ancients 2025,Round 3,0
Glasgow Ancients 2025,Round 2,7
Glasgow Ancients 2025,Round 1,6
Glasgow Summer Cup 2023,Pro-Am Finals,8
Glasgow Summer Cup 2023,ESL Finals,8
Glasgow Summer Cup 2023,Grand Final,8
Glasgow Summer Cup 2023,Semifinals,5
Glasgow Summer Cup 2023,Quarterfinals,0
Glasgow Summer Cup 2023,Round 5,8
Glasgow Summer Cup 2023,Round 4,3
Glasgow Summer Cup 2023,Round 3,0
Glasgow Summer Cup 2023,Round 2,7
Glasgow Summer Cup 2023,Round 1,9
Glasgow Summer Cup 2024,ProAm Final,0
Glasgow Summer Cup 2024,ESL Finals,6
Glasgow Summer Cup 2024,Grand Final,6
Glasgow Summer Cup 2024,Semifinals,6
Glasgow Summer Cup 2024,Partial Quarterfinals,8
Glasgow Summer Cup 2024,Round 5,9
Glasgow Summer Cup 2024,Round 4,3
Glasgow Summer Cup 2024,Round 3,7
Glasgow Summer Cup 2024,Round 2,9
Glasgow Summer Cup 2024,Round 1,9
Groningen Open 2021,Round 1,3
Groningen Open 2021,Round 2,5
Groningen Open 2021,Round 3,0
Groningen Open 2021,Round 4,2
Groningen Open 2021,Round 5,7
Groningen Open 2021,Semifinals,9
Groningen Open 2021,Grand Final,8
Groningen Open 2021,ESL Finals,8
Habib University DC 2021,Grand Final,7
Habib University DC 2021,Semifinals,1
Habib University DC 2021,Quarterfinals,2
Habib University DC 2021,Round 5,4
Habib University DC 2021,Round 4,7
Habib University DC 2021,Round 3,7
Habib University DC 2021,Round 2,3
Habib University DC 2021,Round 1,6
Hart House IV 2020,Grand Final,0
Hart House IV 2020,Semifinals,3
Hart House IV 2020,Novice Final,8
Hart House IV 2020,Quarterfinals,0
Hart House IV 2020,Novice Semi Finals,1
Hart House IV 2020,Round 5,9
Hart House IV 2020,Round 4,4
Hart House IV 2020,Round 3,8
Hart House IV 2020,Round 2,7
Hart House IV 2020,Round 1,8
Hart House IV 2021,Grand Final,0
Hart House IV 2021,Novice Final,5
Hart House IV 2021,ESL Final,3
Hart House IV 2021,Semifinals,6
Hart House IV 2021,Quarterfinals,7
Hart House IV 2021,Novice Semi Finals,7
Hart House IV 2021,Round 5,9
Hart House IV 2021,Round 4,2
Hart House IV 2021,Round 3,0
Hart House IV 2021,Round 2,7
Hart House IV 2021,Round 1,9
Hart House IV 2022,Novice Finals,8
Hart House IV 2022,Grand Final,3
Hart House IV 2022,Semifinals,4
Hart House IV 2022,Novice Semifinals,5
Hart House IV 2022,Quarterfinals,9
Hart House IV 2022,Round 5,4
Hart House IV 2022,Round 4,0
Hart House IV 2022,Round 3,4
Hart House IV 2022,Round 2,5
Hart House IV 2022,Round 1,6
Hart House IV 2023,Novice Finals,9
Hart House IV 2023,Novice Semifinals,8
Hart House IV 2023,Grand Final,8
Hart House IV 2023,Semifinals,9
Hart House IV 2023,Quarterfinals,0
Hart House IV 2023,Round 5,0
Hart House IV 2023,Round 4,2
Hart House IV 2023,Round 3,8
Hart House IV 2023,Round 2,6
Hart House IV 2023,Round 1,5
Hart House IV 2024,Novice Finals,8
Hart House IV 2024,Novice Semifinals,7
Hart House IV 2024,Grand Final,3
Hart House IV 2024,Semifinals,0
Hart House IV 2024,Quarterfinals,9
Hart House IV 2024,Round 5,2
Hart House IV 2024,Round 4,9
Hart House IV 2024,Round 3,9
Hart House IV 2024,Round 2,1
Hart House IV 2024,Round 1,2
Helsinki Open 2021,Grand Final,0
Helsinki Open 2021,Semifinals,6
Helsinki Open 2021,Pro-Am Final,9
Helsinki Open 2021,Round 5,2
Helsinki Open 2021,Round 4,3
Helsinki Open 2021,Round 3,8
Helsinki Open 2021,Round 2,9
Helsinki Open 2021,Round 1,9
HKDC 2023,High School Grand Final,5
HKDC 2023,High School Pre-Grand Finals,9
HKDC 2023,Grand Final,8
HKDC 2023,Semifinals,2
HKDC 2023,Quarterfinals,9
HKDC 2023,Round 4,8
HKDC 2023,Round 3,5
HKDC 2023,Round 2,2
HKDC 2023,Round 1,8
HKDC 2024,Novice Grand Final,8
HKDC 2024,Novice Semifinals,5
HKDC 2024,Grand Final,8
HKDC 2024,Semifinals,8
HKDC 2024,Quarterfinals,9
HKDC 2024,Round 5,3
HKDC 2024,Round 4,2
HKDC 2024,Round 3,0
HKDC 2024,Round 2,8
HKDC 2024,Round 1,2
Hugill Cup 2020,Round 1,5
Hugill Cup 2020,Round 2,3
Hugill Cup 2020,Round 3,7
Hugill Cup 2020,Round 4,5
Hugill Cup 2020,Round 5,2
Hugill Cup 2020,Semifinals,9
Hugill Cup 2020,Grand Final,0
Hungarian Schools DA Pre-WUDC 2024,ESL Finals,4
Hungarian Schools DA Pre-WUDC 2024,Grand Final,6
Hungarian Schools DA Pre-WUDC 2024,Semifinals,4
Hungarian Schools DA Pre-WUDC 2024,Round 5,7
Hungarian Schools DA Pre-WUDC 2024,Round 4,8
Hungarian Schools DA Pre-WUDC 2024,Round 3,9
Hungarian Schools DA Pre-WUDC 2024,Round 2,3
Hungarian Schools DA Pre-WUDC 2024,Round 1,0
HWS Round Robin 2023,Grand Final,2
HWS Round Robin 2023,Round 5,9
HWS Round Robin 2023,Round 5,9
HWS Round Robin 2023,Round 4,8
HWS Round Robin 2023,Round 4,8
HWS Round Robin 2023,Round 3,7
HWS Round Robin 2023,Round 3,7
HWS Round Robin 2023,Round 2,0
HWS Round Robin 2023,Round 2,0
HWS Round Robin 2023,Round 1,7
HWS Round Robin 2023,Round 1,7
HWS Round Robin 2024,Grand Final,7
HWS Round Robin 2024,Semifinals,0
HWS Round Robin 2024,Round 9,3
HWS Round Robin 2024,Round 8,8
HWS Round Robin 2024,Round 7,2
HWS Round Robin 2024,Round 6,9
HWS Round Robin 2024,Round 5,7
HWS Round Robin 2024,Round 4,3
HWS Round Robin 2024,Round 3,6
HWS Round Robin 2024,Round 2,8
HWS Round Robin 2024,Round 1,0
HWS Round Robin 2025,Grand Final,0
HWS Round Robin 2025,Round 5-B,9
HWS Round Robin 2025,Round 5-A,9
HWS Round Robin 2025,Round 4-B,5
HWS Round Robin 2025,Round 4-A,5
HWS Round Robin 2025,Round 3-B,9
HWS Round Robin 2025,Round 3-A,9
HWS Round Robin 2025,Round 2-B,1
HWS Round Robin 2025,Round 2-A,1
HWS Round Robin 2025,Round 1-B,2
HWS Round Robin 2025,Round 1-A,2
Hypothetical Open 2023,Round 1,4
Hypothetical Open 2023,Round 2,8
Hypothetical Open 2023,Round 3,8
Hypothetical Open 2023,Round 4,8
Hypothetical Open 2023,Gold Final,9
Hypothetical Open 2023,Silver Finals,0
Hypothetical Open 2023,Bronze Finals,7
Hypothetical Open 2024,Round 1,9
Hypothetical Open 2024,Round 2,3
Hypothetical Open 2024,Round 3,8
Hypothetical Open 2024,Round 4,3
Hypothetical Open 2024,Gold Final,4
Hypothetical Open 2024,Silver Final,3
IIT Bombay Debate (13th),Open Finals,2
